中文名,学名,保护级别 State Priority Level,红色名录等级 Red List Status,注释 Note
疣鼻天鹅 （天鹅）,Cygnus olor,II,NT,
大天鹅  （天鹅）,Cygnus cygnus,II,NT,
小天鹅  （天鹅）,Cygnus columbianus,II,NT,
鸳鸯,Aix galericulata,II,NT,
中华秋沙鸭,Mergus squamatus,Ⅰ,EN,
金雕,Aquila chrysaetos,Ⅰ,VU,
白肩雕,Aquila heliaca,Ⅰ,EN,
玉带海雕,Haliaeetus leucoryphus,Ⅰ,EN,
白尾海雕,Haliaeetus albcilla,Ⅰ,VU,Haliaeetus albicilla
虎头海雕,Haliaeetus pelagicus,Ⅰ,EN,
拟兀鹫,Pseudogyps bengalensis,Ⅰ,DD,白背兀鹫
胡兀鹫,Gypaetus barbatus,Ⅰ,NT,
褐冠鹃隼（其它鹰类）,Aviceda jerdoni,II,NT,
黑冠鹃隼（其它鹰类）,Aviceda leuphotes,II,LC,
凤头蜂鹰（其它鹰类）,Pernis ptilorhyncus,II,NT,
黑翅鸢（其它鹰类）,Elanus caeruleus,II,NT,
黑鸢（其它鹰类）,Milvus migrans,II,LC,
栗鸢（其它鹰类）,Haliastur indus,II,VU,
白腹海雕（其它鹰类）,Haliaeetus leucogaster,II,VU,
渔雕（其它鹰类）,Ichthyophaga humilis,II,NT,
长嘴兀鹫（其它鹰类）,Gyps indicus,II,DD,
高山兀鹫（其它鹰类）,Gyps himalayensis,II,NT,
兀鹫（其它鹰类）,Gyps fulvus,II,NT,
秃鹫（其它鹰类）,Aegypius monachus,II,NT,
黑兀鹫（其它鹰类）,Sarcogyps calvus,II,CR,
短趾雕（其它鹰类）,Circaetus gallicus,II,NT,
蛇雕（其它鹰类）,Spilornis cheela,II,NT,
白头鹞（其它鹰类）,Circus aeruginosus,II,NT,
白腹鹞（其它鹰类）,Circus spilonotus,II,NT,
白尾鹞（其它鹰类）,Circus cyaneus,II,NT,
草原鹞（其它鹰类）,Circus macrourus,II,NT,
鹊鹞（其它鹰类）,Circus melanoleucos,II,NT,
乌灰鹞（其它鹰类）,Circus pygargus,II,NT,
凤头鹰（其它鹰类）,Accipiter trivirgatus,II,NT,
褐耳鹰（其它鹰类）,Accipiter badius,II,NT,
赤腹鹰（其它鹰类）,Accipiter soloensis,II,LC,
日本松雀鹰（其它鹰类）,Accipiter gularis,II,LC,
松雀鹰（其它鹰类）,Accipiter virgatus,II,LC,
雀鹰（其它鹰类）,Accipiter nisus,II,LC,
苍鹰（其它鹰类）,Accipiter gentilis,II,NT,
白眼鹰（其它鹰类）,Butastur teesa,II,DD,
棕翅鹰（其它鹰类）,Butastur liventer,II,DD,
灰脸鹰（其它鹰类）,Butastur indicus,II,NT,
普通（其它鹰类）,Buteo buteo,II,LC,
棕尾（其它鹰类）,Buteo rufinus,II,NT,
大（其它鹰类）,Buteo hemilasius,II,VU,
毛脚（其它鹰类）,Buteo lagopus,II,NT,
林雕（其它鹰类）,Ictinaetus malayensis,II,VU,
乌雕（其它鹰类）,Aquila clanga,II,EN,
草原雕（其它鹰类）,Aquila nipalensis,II,VU,
白腹隼雕（其它鹰类）,Hieraaetus fasciata,II,VU,
靴隼雕（其它鹰类）,Hieraaetus pennatus,II,VU,
棕腹隼雕（其它鹰类）,Hieraaetus kienerii,II,NT,
鹰雕（其它鹰类）,Spizaetus nipalensis,II,NT,
凤头鹰雕（其它鹰类）,Spizaetus cirrhatus,II,NT,
红腿小隼（隼科）,Microhierax caerulescens,II,NT,
白腿小隼（隼科）,Microhierax melanoleucus,II,VU,
黄爪隼（隼科）,Falco naumanni,II,VU,
红隼（隼科）,Falco tinnunculus,II,LC,
西红脚隼（隼科）,Falco vespertinus,II,NT,
红脚隼（隼科）,Falco amurensis,II,NT,
灰背隼（隼科）,Falco columbarius,II,NT,
燕隼（隼科）,Falco subbuteo,II,LC,
猛隼（隼科）,Falco severus,II,DD,
猎隼（隼科）,Falco cherrug,II,EN,
矛隼（隼科）,Falco rusticolus,II,NT,
拟游隼（隼科）,Falco pelegrinoides,II,NT,
游隼（隼科）,Falco peregrinus,II,NT,
细嘴松鸡,Tetrao parvirostris,Ⅰ,EN,
黑琴鸡,Lyrurus tetrix,II,NT,
柳雷鸟,Lagopus lagopus,II,VU,
岩雷鸟,Lagopus mutus,II,NT,
镰翅鸟,Falcipennis falcipennis,II,RE,Dendragapus falcipennis
花尾榛鸡,Tetrastes bonasia,II,LC,
斑尾榛鸡,Tetrastes sewerzowi,Ⅰ,NT,
藏雪鸡（雪鸡）,Tetraogallus tibetanus,II,NT,
阿尔泰雪鸡（雪鸡）,Tetraogallus altaicus,II,VU,
暗腹雪鸡（雪鸡）,Tetraogallus himalayensis,II,NT,
雉鹑,Tetraophasis obscurus,Ⅰ,VU,红喉雉鹑
四川山鹧鸪,Arborophila rufipectus,Ⅰ,EN,
海南山鹧鸪,Arborophila ardens,Ⅰ,EN,
血雉,Ithaginis cruentus,II,NT,
黑头角雉,Tragopan melanocephalus,Ⅰ,DD,
红胸角雉,Tragopan satyra,Ⅰ,VU,
灰腹角雉,Tragopan blythii,Ⅰ,DD,
红腹角雉,Tragopan temminckii,II,NT,
黄腹角雉,Tragopan caboti,Ⅰ,EN,
棕尾虹雉（虹雉）,Lophophorus impejanus,Ⅰ,NT,
白尾梢虹雉（虹雉）,Lophophorus sclateri,Ⅰ,EN,
绿尾虹雉（虹雉）,Lophophorus lhuysii,Ⅰ,EN,
藏马鸡,Crossoptilon crossoptilon,II,NT,
蓝马鸡,Crossoptilon aurtun,II,NT,
褐马鸡,Crossoptilon mantchuricum,Ⅰ,VU,
黑鹇,Lophura leucomelana,II,NT,
白鹇,Lophura nycthemera,II,LC,
蓝鹇,Lophura swinhoii,Ⅰ,NT,蓝腹鹇
原鸡,Gallus gallus,II,NT,
勺鸡,Pucrasia macrolopha,II,LC,
黑颈长尾雉,Syrmaticus humiae,Ⅰ,VU,
白冠长尾雉,Syrmaticus reevesii,II,EN,
白颈长尾雉,Syrmaticus ellioti,Ⅰ,VU,
黑长尾雉,Syrmaticus mikado,Ⅰ,NT,
白腹锦鸡（锦鸡）,Chrysolophus amherstiae,II,NT,
红腹锦鸡（锦鸡）,Chrysolophus pictus,II,NT,
孔雀雉,Polyplectron bicalcaratum,Ⅰ,EN,
绿孔雀,Pavo muticus,Ⅰ,CR,
灰鹤,Grus grus,II,NT,
黑颈鹤,Grus nigricollis,Ⅰ,VU,
白头鹤,Grus monacha,Ⅰ,EN,
沙丘鹤,Grus canadensis,II,DD,
丹顶鹤,Grus japonensis,Ⅰ,EN,
白枕鹤,Grus vipio,II,EN,
白鹤,Grus leucogeranus,Ⅰ,CR,
赤颈鹤,Grus antigone,Ⅰ,RE,
蓑羽鹤,Anthropoides virgo,II,LC,
长脚秧鸡,Crex crex,II,VU,
姬田鸡,Porzana parva,II,LC,
棕背田鸡,Porzana bicolor,II,LC,
花田鸡,Coturnicops noveboracensis,II,VU,Coturnicops exquisitus
大鸨（鸨）,Otis tarda,Ⅰ,EN,
波斑鸨（鸨）,Chlamydotis macqueenii,Ⅰ,EN,
小鸨（鸨）,Tetrax tetrax,Ⅰ,DD,
铜翅水雉,Metopidius indicus,II,DD,
小勺鹬,Numenius borealis,II,CR,勺嘴鹬
小青脚鹬,Tringa guttifer,II,EN,
灰燕鴴,Glareola lactea,II,LC,
遗鸥,Larus relictus,Ⅰ,EN,
小鸥,Larus minutus,II,NT,
黑浮鸥,Chlidonias niger,II,LC,
黄嘴河燕鸥,Sterna aurantia,II,NT,
黑嘴端凤头燕鸥,Thalasseus zimmermanni,II,CR,中华凤头燕鸥
黑腹沙鸡,Pterocles orientalis,II,NT,
橙胸绿鸠（绿鸠）,Treron bicinctus,II,NT,
灰头绿鸠（绿鸠）,Treron pompadora,II,NT,
厚嘴绿鸠（绿鸠）,Treron curvirostra,II,NT,
黄脚绿鸠（绿鸠）,Treron phoenicopterus,II,NT,
针尾绿鸠（绿鸠）,Treron apicauda,II,NT,
楔尾绿鸠（绿鸠）,Treron sphenurus,II,NT,
红翅绿鸠（绿鸠）,Treron sieboldii,II,LC,
红顶绿鸠（绿鸠）,Treron formosae,II,VU,
黑颏果鸠,Ptilinopus leclancheri,II,LC,
绿皇鸠（皇鸠）,Ducula aenea,II,EN,
山皇鸠（皇鸠）,Ducula badia,II,NT,
斑尾林鸽,Columba palumbus,II,LC,
小鹃鸠（鹃鸠）,Macropygia ruficeps,II,LC,
斑尾鹃鸠（鹃鸠）,Macropygia unchall,II,NT,
菲律宾鹃鸠（鹃鸠）,Macropygia tenuirostris,II,LC,
短尾鹦鹉（鹦鹉科）,Loriculus vernalis,II,DD,
小葵花鹦鹉（鹦鹉科）,Cacatua sulphurea,II,DD,
蓝腰鹦鹉（鹦鹉科）,Psittinus cyanurus,II,VU,
亚历山大鹦鹉（鹦鹉科）,Psittacula eupatria,II,DD,
红领绿鹦鹉（鹦鹉科）,Psittacula krameri,II,DD,
灰头鹦鹉（鹦鹉科）,Psittacula finschii,II,DD,
花头鹦鹉（鹦鹉科）,Psittacula roseata,II,DD,
大紫胸鹦鹉（鹦鹉科）,Psittacula derbiana,II,VU,
绯胸鹦鹉（鹦鹉科）,Psittacula alexandri,II,VU,
小鸦鹃（鸦鹃）,Centropus bengalensis,II,LC,
褐翅鸦鹃（鸦鹃）,Centropus sinensis,II,LC,
仓鸮（鴞形目）,Tyto alba,II,NT,
东方草鸮（鴞形目）,Tyto longimembris,II,DD,
栗鸮（鴞形目）,Phodilus badius,II,NT,
黄嘴角鸮（鴞形目）,Otus spilocephalus,II,NT,
领角鸮（鴞形目）,Otus lettia,II,LC,
纵纹角鸮（鴞形目）,Otus brucei,II,DD,
西红角鸮（鴞形目）,Otus scops,II,LC,
红角鸮（鴞形目）,Otus sunia,II,LC,
兰屿角鸮（鴞形目）,Otus elegans,II,NT,
雕鸮（鴞形目）,Bubo bubo,II,NT,
林雕鸮（鴞形目）,Bubo nipalensis,II,NT,
雪鸮（鴞形目）,Bubo scandiacus,II,NT,
灰喉针尾雨燕,Hirundapus cochinchinensis,II,NT,
凤头雨燕,Hemiprocne longipennis,II,LC,
橙胸咬鹃,Harpactes oreskios,II,NT,
蓝耳翠鸟,Alcedo meninting,II,LC,
鹳嘴翠鸟,Pelargopsis capensis,II,DD,鹳嘴翡翠
黑胸蜂虎,Merops leschenaulti,II,LC,栗头蜂虎
绿喉蜂虎,Merops orientalis,II,LC,
冠斑犀鸟（犀鸟科）,Anthracoceros albirostris,II,CR,
双角犀鸟（犀鸟科）,Buceros bicornis,II,CR,
白喉犀鸟（犀鸟科）,Anorrhinus tickelli,II,VU,
棕颈犀鸟（犀鸟科）,Aceros nipalensis,II,CR,
花冠皱盔犀鸟（犀鸟科）,Aceros undulatus,II,EN,
白腹黑啄木鸟,Dryocopus javensis,II,NT,
长尾阔嘴鸟（阔嘴鸟科）,Psarisomus dalhousiae,II,NT,
银胸丝冠鸟（阔嘴鸟科）,Serilophus lunatus ,II,NT,
双辫八色鸫（八色鸫科）,Pitta phayrei,II,VU,
蓝枕八色鸫（八色鸫科）,Pitta nipalensis,II,VU,
蓝背八色鸫（八色鸫科）,Pitta soror,II,EN,
栗头八色鸫（八色鸫科）,Pitta oatesi,II,VU,
蓝八色鸫（八色鸫科）,Pitta cyanea,II,DD,
绿胸八色鸫（八色鸫科）,Pitta sordida,II,VU,
印度八色鸫（八色鸫科）,Pitta brachyura,II,DD,
仙八色鸫（八色鸫科）,Pitta nympha,II,VU,
蓝翅八色鸫（八色鸫科）,Pitta moluccensis,II,DD,
*地龟,Geoemyda spengleri,II,EN,
*三线闭壳龟,Cuora trifasciata,II,CR,
*云南闭壳龟,Cuora yunnanensis,II,CR,
四爪陆龟,Testudo horsfieldi,Ⅰ,CR,
凹甲陆龟,Manouria impressa,II,CR,
*蠵龟,Caretta caretta,II,CR,红海龟
*绿海龟,Chelonia mydas,II,CR,
*玳瑁,Eretmochelys imbricata,II,CR,
*太平洋丽龟,Lepidochelys olivacea,II,CR,
*棱皮龟,Dermochelys coriacea,II,CR,
*鼋,Pelochelys bibroni,Ⅰ,CR,
*山瑞鳖,Trionyx steindachneri,II,EN,
大壁虎,Gekko gecko,II,CR,
蜥鳄,Shinisaurus crocodilurus,Ⅰ,CR,
巨蜥,Varanus salvator,Ⅰ,CR,伊江巨蜥，圆鼻巨蜥
蟒,Python molurus,Ⅰ,CR,
扬子鳄,Alligator sinensis,Ⅰ,CR,
*大鲵,Andrias davidianus,II,CR,
*细痣疣螈,Tylototriton asperrimus,II,NT,细痣瑶螈
*镇海疣螈,Tylototriton chinhaiensis,II,CR,镇海棘螈
*贵州疣螈,Tylototriton kweichowensis,II,VU,Tylototriton (Qiantriton) kweichowensis
*大凉疣螈,Tylototriton taliangensis,II,VU,大凉螈
*细瘰疣螈,Tylototriton verrucosus,II,NT,棕黑疣螈
虎纹蛙,Rana tigrina,II,EN,
*黄唇鱼,Bahaba flavolabiata,II,无,
*松江鲈鱼,Trachidermus fasciatus,II,EN,松江鲈
*克氏海马鱼,Hippocampus kelloggi,II,无,
*胭脂鱼,Myxocyprinus asiaticus,II,CR,
*唐鱼,Tanichthys albonubes,II,CR,
*大头鲤,Cyprinus pellegrini,II,CR,
*金钱鲃,Sinocyclocheilus grahami grahami,II,CR,滇池金线鲃
*新疆大头鱼,Aspiorhynchus laticeps,Ⅰ,CR,扁吻鱼
*大理裂腹鱼,Schizothorax taliensis,II,CR,
*花鳗鲡,Anguilla marmorata,II,EN,
*川陕哲罗鲑,Hucho bleekeri,II,CR,
*秦岭细鳞鲑,Brachymystax lenok tsinlingensis,II,EN,
*中华鲟,Acipenser sinensis,Ⅰ,CR,
*达氏鲟,Acipenser dabryanus,Ⅰ,CR,
*白鲟,Psephurus gladius,Ⅰ,CR,
